#mapping_set_id: https://w3id.org/rdfc2im/mappings/clinvar
#mapping_set_title: rdf-config clinvar -> HumanMine (rdfc2im)
#mapping_set_description: 'Predicate-level mapping from the rdf-config model onto the InterMine model. Editable columns: object_id,
#  comment, ext_table, ext_status, ext_transform, ext_filter, ext_value, ext_required. ext_status is the operational switch
#  (sure/human/guess load; todo/drop/link do not).'
#license: https://creativecommons.org/publicdomain/zero/1.0/
#curie_map:
#  intermine: https://w3id.org/intermine/
#  rdfc2im: https://w3id.org/rdfc2im/
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  sssom: https://w3id.org/sssom/
#  idcv: 'http://identifiers.org/clinvar.record:'
#  refseq: http://identifiers.org/refseq/
#  med2rdf: http://med2rdf.org/ontology/med2rdf#
#  clinvar: http://ncbi.nlm.nih.gov/clinvar/variation/
#  ncbigene: http://ncbi.nlm.nih.gov/gene/
#  medgen: http://ncbi.nlm.nih.gov/medgen/
#  omim: http://omim.org/entry/
#  cvo: http://purl.jp/bio/10/clinvar/
#  bibo: http://purl.org/ontology/bibo/
#  faldo: http://biohackathon.org/resource/faldo#
#  dct: http://purl.org/dc/terms/
#  sio: http://semanticscience.org/resource/
#  rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#  rdfs: http://www.w3.org/2000/01/rdf-schema#
#  hco: http://identifiers.org/hco/
#  hgnc: 'http://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:HGNC:'
#extension_definitions:
#- slot_name: ext_subject
#  property: rdfc2im:subject
#  type_hint: xsd:string
#- slot_name: ext_predicate
#  property: rdfc2im:predicate
#  type_hint: xsd:string
#- slot_name: ext_table
#  property: rdfc2im:table
#  type_hint: xsd:string
#- slot_name: ext_status
#  property: rdfc2im:status
#  type_hint: xsd:string
#- slot_name: ext_basis
#  property: rdfc2im:basis
#  type_hint: xsd:string
#- slot_name: ext_transform
#  property: rdfc2im:transform
#  type_hint: xsd:string
#- slot_name: ext_filter
#  property: rdfc2im:filter
#  type_hint: xsd:string
#- slot_name: ext_value
#  property: rdfc2im:value
#  type_hint: xsd:string
#- slot_name: ext_required
#  property: rdfc2im:required
#  type_hint: xsd:string
#- slot_name: ext_via
#  property: rdfc2im:via
#  type_hint: xsd:string
#- slot_name: ext_kind
#  property: rdfc2im:kind
#  type_hint: xsd:string
#- slot_name: ext_multi
#  property: rdfc2im:multi
#  type_hint: xsd:string
#- slot_name: ext_example
#  property: rdfc2im:example
#  type_hint: xsd:string
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment	ext_subject	ext_predicate	ext_table	ext_status	ext_basis	ext_transform	ext_filter	ext_value	ext_required	ext_via	ext_kind	ext_multi	ext_example
http://purl.jp/bio/10/clinvar/accession	vcv	skos:exactMatch	intermine:Allele.primaryIdentifier	Allele.primaryIdentifier	semapv:UnspecifiedMatching	1.0	DIVERGES FROM STOCK - decide before replacing clinvar.  This previously claimed basis java:ClinvarConverter, which is false: the converter sets primaryIdentifier from `line[0]` of variant_summary.txt, the numeric AlleleID (e.g. 205807), never the VCV accession.  VCV is what rdf-config's own model uses to identify a record and is a sound identifier, so it stays mapped - but loading it in place of stock clinvar changes every Allele.primaryIdentifier, which breaks saved lists, templates and anything keyed on AlleleID. To match stock instead, key on cvo:allele_id (column allele_id) - that id sits on the SIO_000628 node, not the record root, so it is a structural change, not a one-line swap.	Clinvar	cvo:accession	main	sure	rdfconfig:model				yes		literal	no	VCV000209597
http://purl.jp/bio/10/clinvar/classified_record	_bn1	sssom:NoMapping			semapv:UnspecifiedMatching			Clinvar	cvo:classified_record	main	link	structure				no		bnode	no	[]
http://purl.jp/bio/10/clinvar/date_created	date_created	sssom:NoMapping			semapv:UnspecifiedMatching		record creation date; the converter never writes it and Allele has no field	Clinvar	cvo:date_created	main	drop	java:ClinvarConverter				no		literal	no	2015-09-29
http://purl.jp/bio/10/clinvar/date_last_updated	date_last_updated	sssom:NoMapping			semapv:UnspecifiedMatching		record update date; the converter never writes it and Allele has no field	Clinvar	cvo:date_last_updated	main	drop	java:ClinvarConverter				no		literal	no	2024-11-03
http://purl.jp/bio/10/clinvar/most_recent_submission	most_recent_submission	sssom:NoMapping			semapv:UnspecifiedMatching		submission date; the converter never writes it and Allele has no field	Clinvar	cvo:most_recent_submission	main	drop	java:ClinvarConverter				no		literal	no	2015-09-29
http://purl.jp/bio/10/clinvar/number_of_submissions	number_of_submissions	sssom:NoMapping			semapv:UnspecifiedMatching		duplicates cvo:submission_count, already mapped to Allele.submissionCount	Clinvar	cvo:number_of_submissions	main	drop	knowledge				no		literal	no	1
http://purl.jp/bio/10/clinvar/number_of_submitters	number_of_submitters	sssom:NoMapping			semapv:UnspecifiedMatching		submitter count; the converter never writes it and Allele has no field	Clinvar	cvo:number_of_submitters	main	drop	java:ClinvarConverter				no		literal	no	1
http://purl.jp/bio/10/clinvar/record_status	recode_status	sssom:NoMapping			semapv:UnspecifiedMatching		record status; the converter never writes it and Allele has no field	Clinvar	cvo:record_status	main	drop	java:ClinvarConverter				no		literal	no	current
http://purl.jp/bio/10/clinvar/record_type	record_type	sssom:NoMapping			semapv:UnspecifiedMatching		record type; the converter never writes it and Allele has no field	Clinvar	cvo:record_type	main	drop	java:ClinvarConverter				no		literal	no	classified
http://purl.jp/bio/10/clinvar/species	species	sssom:NoMapping			semapv:UnspecifiedMatching		always Homo sapiens; add a const Organism.taxonId=9606 column instead	Clinvar	cvo:species	main	drop	knowledge				no		literal	no	Homo sapiens
