subject	im_class	role	status	basis	rdf_types	path	example	note
Clinvar	Allele	root	sure	java:ClinvarConverter	cvo:VariationArchiveType	(root)	clinvar:209597	
Clinvar/classified_record	Allele	node	sure	inherit:parent	cvo:ClassifiedRecord	cvo:classified_record?		inline blank node - flattened onto the parent's class
Clinvar/classified_record/rcv_list	Allele	node	sure	inherit:parent	cvo:RCVList	cvo:classified_record? / cvo:rcv_list		inline blank node - flattened onto the parent's class
Clinvar/classified_record/SIO_000628	Allele	node	sure	inherit:parent	cvo:TypeAllele	cvo:classified_record? / sio:SIO_000628*		inline blank node - flattened onto the parent's class
Clinvar/classified_record/rcv_list/rcv_accession	Allele	node	sure	inherit:parent	cvo:TypeRCV	cvo:classified_record? / cvo:rcv_list / cvo:rcv_accession+		inline blank node - flattened onto the parent's class
Clinvar/classified_record/SIO_000628/location	Allele	node	sure	inherit:parent	faldo:ExactPosition	cvo:classified_record? / sio:SIO_000628* / faldo:location*		inline blank node - flattened onto the parent's class
Ncbigene	Gene	node	sure	java:ClinvarConverter	cvo:Gene	cvo:classified_record? / sio:SIO_000628* / med2rdf:gene*	ncbigene:106721785	
Clinvar/classified_record/SIO_000628/allele_frequency	Allele	node	sure	inherit:parent	cvo:AlleleFrequency	cvo:classified_record? / sio:SIO_000628* / cvo:allele_frequency*		inline blank node - flattened onto the parent's class
Clinvar/classified_record/SIO_000628/global_minor_allele_frequency	Allele	node	sure	inherit:parent	cvo:GlobalMinorAlleleFrequency	cvo:classified_record? / sio:SIO_000628* / cvo:global_minor_allele_frequency?		inline blank node - flattened onto the parent's class
Clinvar/classified_record/rcv_list/rcv_accession/classified_condition_list	Allele	node	sure	inherit:parent	cvo:ClassifiedConditionList	cvo:classified_record? / cvo:rcv_list / cvo:rcv_accession+ / cvo:classified_condition_list		inline blank node - flattened onto the parent's class
Clinvar/classified_record/rcv_list/rcv_accession/rcv_classifications	Allele	node	sure	inherit:parent	cvo:RCVClassifications	cvo:classified_record? / cvo:rcv_list / cvo:rcv_accession+ / cvo:rcv_classifications		inline blank node - flattened onto the parent's class
Ncbigene/location	Gene	node	sure	inherit:parent	faldo:Region	cvo:classified_record? / sio:SIO_000628* / med2rdf:gene* / faldo:location*		inline blank node - flattened onto the parent's class
Clinvar/classified_record/rcv_list/rcv_accession/classified_condition_list/classified_condition	Disease	node	sure	java:ClinvarConverter	med2rdf:Disease	cvo:classified_record? / cvo:rcv_list / cvo:rcv_accession+ / cvo:classified_condition_list / cvo:classified_condition+		
Clinvar/classified_record/rcv_list/rcv_accession/rcv_classifications/germline_classification	Allele	node	sure	inherit:parent	cvo:GermlineClassification	cvo:classified_record? / cvo:rcv_list / cvo:rcv_accession+ / cvo:rcv_classifications / cvo:germline_classification?		inline blank node - flattened onto the parent's class
Ncbigene/location/begin	Gene	node	sure	inherit:parent	faldo:ExactPosition	cvo:classified_record? / sio:SIO_000628* / med2rdf:gene* / faldo:location* / faldo:begin*		inline blank node - flattened onto the parent's class
Ncbigene/location/end	Gene	node	sure	inherit:parent	faldo:ExactPosition	cvo:classified_record? / sio:SIO_000628* / med2rdf:gene* / faldo:location* / faldo:end*		inline blank node - flattened onto the parent's class
Clinvar/classified_record/rcv_list/rcv_accession/rcv_classifications/germline_classification/description	Allele	node	sure	inherit:parent	cvo:Description	cvo:classified_record? / cvo:rcv_list / cvo:rcv_accession+ / cvo:rcv_classifications / cvo:germline_classification? / cvo:description?		inline blank node - flattened onto the parent's class
