#mapping_set_id: https://w3id.org/rdfc2im/mappings/expressionatlas
#mapping_set_title: rdf-config expressionatlas -> HumanMine (rdfc2im)
#mapping_set_description: 'Predicate-level mapping from the rdf-config model onto the InterMine model. Editable columns: object_id,
#  comment, ext_table, ext_status, ext_transform, ext_filter, ext_value, ext_required. ext_status is the operational switch
#  (sure/human/guess load; todo/drop/link do not).'
#license: https://creativecommons.org/publicdomain/zero/1.0/
#curie_map:
#  intermine: https://w3id.org/intermine/
#  rdfc2im: https://w3id.org/rdfc2im/
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  sssom: https://w3id.org/sssom/
#  rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#  rdfs: http://www.w3.org/2000/01/rdf-schema#
#  owl: http://www.w3.org/2002/07/owl#
#  xsd: http://www.w3.org/2001/XMLSchema#
#  dct: http://purl.org/dc/terms/
#  obo: http://purl.obolibrary.org/obo/
#  ensembl: http://rdf.ebi.ac.uk/resource/ensembl/
#  gxaterms: http://rdf.ebi.ac.uk/terms/expressionatlas/
#  gxa: http://rdf.ebi.ac.uk/resource/expressionatlas/
#  foaf: http://xmlns.com/foaf/0.1/
#extension_definitions:
#- slot_name: ext_subject
#  property: rdfc2im:subject
#  type_hint: xsd:string
#- slot_name: ext_predicate
#  property: rdfc2im:predicate
#  type_hint: xsd:string
#- slot_name: ext_table
#  property: rdfc2im:table
#  type_hint: xsd:string
#- slot_name: ext_status
#  property: rdfc2im:status
#  type_hint: xsd:string
#- slot_name: ext_basis
#  property: rdfc2im:basis
#  type_hint: xsd:string
#- slot_name: ext_transform
#  property: rdfc2im:transform
#  type_hint: xsd:string
#- slot_name: ext_filter
#  property: rdfc2im:filter
#  type_hint: xsd:string
#- slot_name: ext_value
#  property: rdfc2im:value
#  type_hint: xsd:string
#- slot_name: ext_required
#  property: rdfc2im:required
#  type_hint: xsd:string
#- slot_name: ext_via
#  property: rdfc2im:via
#  type_hint: xsd:string
#- slot_name: ext_kind
#  property: rdfc2im:kind
#  type_hint: xsd:string
#- slot_name: ext_multi
#  property: rdfc2im:multi
#  type_hint: xsd:string
#- slot_name: ext_example
#  property: rdfc2im:example
#  type_hint: xsd:string
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment	ext_subject	ext_predicate	ext_table	ext_status	ext_basis	ext_transform	ext_filter	ext_value	ext_required	ext_via	ext_kind	ext_multi	ext_example
http://purl.org/dc/terms/identifier	dataset_id	sssom:NoMapping	sssom:NoTermFound		semapv:UnspecifiedMatching		no match on DataSet - choose a field, or set status=drop	DataSet	dct:identifier	main	todo					no		literal	no	E-GEOD-56087
http://purl.org/dc/terms/description	dataset_desc	skos:exactMatch	intermine:DataSet.description	DataSet.description	semapv:MappingChaining	1.0		DataSet	dct:description	main	sure	term				no		literal	no	Next Generation Sequencing identifying the dosage compensati
http://purl.obolibrary.org/obo/RO_0002162	taxon	sssom:NoMapping	sssom:NoTermFound		semapv:UnspecifiedMatching		no match on DataSet - choose a field, or set status=drop	DataSet	obo:RO_0002162	main	todo					no		iri	no	obo:NCBITaxon_9606
http://xmlns.com/foaf/0.1/page	dataset_page	sssom:NoMapping	sssom:NoTermFound		semapv:UnspecifiedMatching		no match on DataSet - choose a field, or set status=drop	DataSet	foaf:page	main	todo					no		iri	no	<http://www.ebi.ac.uk/gxa/experiments/E-GEOD-56087>
http://rdf.ebi.ac.uk/terms/expressionatlas/hasPart	dataset_part	sssom:NoMapping			semapv:UnspecifiedMatching			DataSet	gxaterms:hasPart	main_dataset_part	link	structure				no		link	yes	DifferentialAnalysis | BaselineAnalysis | Assay
http://www.w3.org/2000/01/rdf-schema#label	diff_analysis_label	sssom:NoMapping	sssom:NoTermFound		semapv:UnspecifiedMatching		subject not bound to a class (see subjects.tsv)	DifferentialAnalysis	rdfs:label	main_dataset_part_differentialanalysis	todo					no		literal	no	Analysis of 'endometrial carcinoma' vs 'normal'
http://rdf.ebi.ac.uk/terms/expressionatlas/hasFactorValue	diff_analysis_factor	sssom:NoMapping			semapv:UnspecifiedMatching			DifferentialAnalysis	gxaterms:hasFactorValue	main_diff_analysis_factor	link	structure				no		link	yes	Factor
http://rdf.ebi.ac.uk/terms/expressionatlas/hasOutput	diff_analysis_expression	sssom:NoMapping			semapv:UnspecifiedMatching			DifferentialAnalysis	gxaterms:hasOutput	main_diff_analysis_expression	link	structure				no		link	yes	DifferentialExpression
http://rdf.ebi.ac.uk/terms/expressionatlas/hasReferenceAssay	diff_analysis_ref_assay	sssom:NoMapping			semapv:UnspecifiedMatching			DifferentialAnalysis	gxaterms:hasReferenceAssay	main_diff_analysis_ref_assay	link	structure				no		link	yes	Assay
http://rdf.ebi.ac.uk/terms/expressionatlas/hasTestAssay	diff_analysis_test_assay	sssom:NoMapping			semapv:UnspecifiedMatching			DifferentialAnalysis	gxaterms:hasTestAssay	main_diff_analysis_test_assay	link	structure				no		link	yes	Assay
