#mapping_set_id: https://w3id.org/rdfc2im/mappings/go
#mapping_set_title: rdf-config go -> HumanMine (rdfc2im)
#mapping_set_description: 'Predicate-level mapping from the rdf-config model onto the InterMine model. Editable columns: object_id,
#  comment, ext_table, ext_status, ext_transform, ext_filter, ext_value, ext_required. ext_status is the operational switch
#  (sure/human/guess load; todo/drop/link do not).'
#license: https://creativecommons.org/publicdomain/zero/1.0/
#curie_map:
#  intermine: https://w3id.org/intermine/
#  rdfc2im: https://w3id.org/rdfc2im/
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  sssom: https://w3id.org/sssom/
#  go: http://purl.obolibrary.org/obo/go#
#  oboinowl: http://www.geneontology.org/formats/oboInOwl#
#  obo: http://purl.obolibrary.org/obo/
#  rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#  rdfs: http://www.w3.org/2000/01/rdf-schema#
#  owl: http://www.w3.org/2002/07/owl#
#extension_definitions:
#- slot_name: ext_subject
#  property: rdfc2im:subject
#  type_hint: xsd:string
#- slot_name: ext_predicate
#  property: rdfc2im:predicate
#  type_hint: xsd:string
#- slot_name: ext_table
#  property: rdfc2im:table
#  type_hint: xsd:string
#- slot_name: ext_status
#  property: rdfc2im:status
#  type_hint: xsd:string
#- slot_name: ext_basis
#  property: rdfc2im:basis
#  type_hint: xsd:string
#- slot_name: ext_transform
#  property: rdfc2im:transform
#  type_hint: xsd:string
#- slot_name: ext_filter
#  property: rdfc2im:filter
#  type_hint: xsd:string
#- slot_name: ext_value
#  property: rdfc2im:value
#  type_hint: xsd:string
#- slot_name: ext_required
#  property: rdfc2im:required
#  type_hint: xsd:string
#- slot_name: ext_via
#  property: rdfc2im:via
#  type_hint: xsd:string
#- slot_name: ext_kind
#  property: rdfc2im:kind
#  type_hint: xsd:string
#- slot_name: ext_multi
#  property: rdfc2im:multi
#  type_hint: xsd:string
#- slot_name: ext_example
#  property: rdfc2im:example
#  type_hint: xsd:string
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment	ext_subject	ext_predicate	ext_table	ext_status	ext_basis	ext_transform	ext_filter	ext_value	ext_required	ext_via	ext_kind	ext_multi	ext_example
http://www.geneontology.org/formats/oboInOwl#id	id	skos:exactMatch	intermine:GOTerm.identifier	GOTerm.identifier	semapv:UnspecifiedMatching	1.0	"e.g. GO:0044255 - exactly what the obo source stores in identifier.  The filter is not cosmetic: OBO ontologies give oboinowl:id to OWL object and annotation properties as well as to classes, so a full GO extract yields 11 rows whose ""identifier"" is a relationship name - part_of, occurs_in, regulates, ends_during, happens_during, starts_during, has_part, positively_regulates, negatively_regulates, has_ontology_root_term, term_tracker_item. They loaded as GOTerms and sorted to the top of the class in the UI.  Requiring the PREFIX:digits shape keeps every real term (GO:, HP:, MP:, UBERON:) and drops these; the column is required=yes, so a failing row is dropped rather than blanked."	Class	oboinowl:id	main	sure	java:OboConverter		regex:^[A-Za-z][A-Za-z0-9]*:[0-9]+$		yes		iri	yes	GO:0044255
http://www.w3.org/2000/01/rdf-schema#label	label	skos:exactMatch	intermine:GOTerm.name	GOTerm.name	semapv:MappingChaining	1.0	term match: OntologyTerm.name	Class	rdfs:label	main	sure	term				no		literal	yes	cellular lipid metabolic process
http://purl.obolibrary.org/obo/IAO_0000115	definition	skos:exactMatch	intermine:GOTerm.description	GOTerm.description	semapv:UnspecifiedMatching	1.0	"IAO_0000115 = ""definition""; obo source stores the def in description"	Class	obo:IAO_0000115	main	sure	java:OboConverter				no		literal	yes	The chemical reactions and pathways involving lipids, as car
http://www.geneontology.org/formats/oboInOwl#hasDbXref	xref	skos:exactMatch	intermine:OntologyTerm.identifier	OntologyTerm.identifier	semapv:UnspecifiedMatching	1.0	Exactly what stock HumanMine loads: OboParser reads `xref`, and OboConverter.createXref builds an OntologyTerm with that identifier and adds it to crossReferences.  The collection holds OntologyTerm, not CrossReference, so xref ids like Reactome:REACT_28392 become identifier-only OntologyTerms - that is the stock behaviour this replaces, not a side effect.	Class	oboinowl:hasDbXref	main_xref	sure	java:OboConverter				no	GOTerm.crossReferences	iri	yes	Reactome:REACT_28392
http://www.geneontology.org/formats/oboInOwl#hasExactSynonym	synonym	skos:exactMatch	intermine:OntologyTermSynonym.name	OntologyTermSynonym.name	semapv:UnspecifiedMatching	1.0	obo source stores each synonym with its scope in OntologyTermSynonym.type	Class	oboinowl:hasExactSynonym	main_synonym	sure	java:OboConverter				no	GOTerm.synonyms	literal	yes	cellular lipid metabolism
http://www.geneontology.org/formats/oboInOwl#hasOBONamespace	namespace	skos:exactMatch	intermine:GOTerm.namespace	GOTerm.namespace	semapv:UnspecifiedMatching	1.0		Class	oboinowl:hasOBONamespace	main	sure	java:OboConverter				no		literal	yes	biological_process
http://www.geneontology.org/formats/oboInOwl#inSubset	subset	sssom:NoMapping	sssom:NoTermFound		semapv:UnspecifiedMatching		spec D2 - still open, but narrower than it looks: OboParser never reads `subset`, so stock HumanMine has never loaded GO-slim membership and dropping this changes nothing.  The only real question is whether to go *beyond* stock by extending the model.	Class	oboinowl:inSubset	main_subset	todo	spec-D2				no		iri	yes	go:goslim_pir
http://www.w3.org/2000/01/rdf-schema#subClassOf	superclass	skos:closeMatch	intermine:OntologyTerm.identifier	OntologyTerm.identifier	semapv:UnspecifiedMatching	0.5	"is_a parents (obo source fills OntologyTerm.parents).  The filter runs on the raw term, before the transform, and is not optional: in OWL, rdfs:subClassOf also points at anonymous class expressions (owl:Restriction, ""part_of some X"").  A full GO extract returns 92,208 superclass rows of which 16,178 are blank nodes and 3 are owl:Thing; without the filter iri_localname turned each blank node into a GOTerm whose identifier was its node id, adding 16k junk parents.  Restricting to the OBO namespace keeps legitimate cross-ontology parents (BFO, CARO), which still arrive as identifier-only stub items - filter harder if unwanted."	Class	rdfs:subClassOf	main_superclass	guess	java:OboConverter	iri_localname,replace:_:\:	regex:^https?://purl\.obolibrary\.org/obo/		no	GOTerm.parents	iri	yes	obo:GO_0044237
rdfc2im:self	Class	sssom:NoMapping			semapv:UnspecifiedMatching		oboinowl:id carries the identifier; the IRI is redundant	Class	-self-	main	drop	knowledge	iri_localname			no		iri	no	obo:GO_0044255
rdfc2im:const	const_OntologyTermSynonym_type	skos:exactMatch	intermine:OntologyTermSynonym.type	OntologyTermSynonym.type	semapv:UnspecifiedMatching	1.0	constant for synonym	Class	-const-	main_synonym	sure	java:OboConverter			exact	no		const	no	
