#mapping_set_id: https://w3id.org/rdfc2im/mappings/go
#mapping_set_title: rdf-config go -> HumanMine (rdfc2im)
#mapping_set_description: 'Predicate-level mapping from the rdf-config model onto the InterMine model. Editable columns: object_id,
#  comment, ext_table, ext_status, ext_transform, ext_filter, ext_value, ext_required. ext_status is the operational switch
#  (sure/human/guess load; todo/drop/link do not).'
#license: https://creativecommons.org/publicdomain/zero/1.0/
#curie_map:
#  intermine: https://w3id.org/intermine/
#  rdfc2im: https://w3id.org/rdfc2im/
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  sssom: https://w3id.org/sssom/
#  go: http://purl.obolibrary.org/obo/go#
#  oboinowl: http://www.geneontology.org/formats/oboInOwl#
#  obo: http://purl.obolibrary.org/obo/
#  rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#  rdfs: http://www.w3.org/2000/01/rdf-schema#
#  owl: http://www.w3.org/2002/07/owl#
#extension_definitions:
#- slot_name: ext_subject
#  property: rdfc2im:subject
#  type_hint: xsd:string
#- slot_name: ext_predicate
#  property: rdfc2im:predicate
#  type_hint: xsd:string
#- slot_name: ext_table
#  property: rdfc2im:table
#  type_hint: xsd:string
#- slot_name: ext_status
#  property: rdfc2im:status
#  type_hint: xsd:string
#- slot_name: ext_basis
#  property: rdfc2im:basis
#  type_hint: xsd:string
#- slot_name: ext_transform
#  property: rdfc2im:transform
#  type_hint: xsd:string
#- slot_name: ext_filter
#  property: rdfc2im:filter
#  type_hint: xsd:string
#- slot_name: ext_value
#  property: rdfc2im:value
#  type_hint: xsd:string
#- slot_name: ext_required
#  property: rdfc2im:required
#  type_hint: xsd:string
#- slot_name: ext_via
#  property: rdfc2im:via
#  type_hint: xsd:string
#- slot_name: ext_kind
#  property: rdfc2im:kind
#  type_hint: xsd:string
#- slot_name: ext_multi
#  property: rdfc2im:multi
#  type_hint: xsd:string
#- slot_name: ext_example
#  property: rdfc2im:example
#  type_hint: xsd:string
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment	ext_subject	ext_predicate	ext_table	ext_status	ext_basis	ext_transform	ext_filter	ext_value	ext_required	ext_via	ext_kind	ext_multi	ext_example
http://www.geneontology.org/formats/oboInOwl#id	id	skos:exactMatch	intermine:GOTerm.identifier	GOTerm.identifier	semapv:UnspecifiedMatching	1.0	e.g. GO:0044255 - exactly what the obo source stores in identifier	Class	oboinowl:id	main	sure	java:OboConverter				yes		iri	yes	GO:0044255
http://www.w3.org/2000/01/rdf-schema#label	label	skos:exactMatch	intermine:GOTerm.name	GOTerm.name	semapv:MappingChaining	1.0	term match: OntologyTerm.name	Class	rdfs:label	main	sure	term				no		literal	yes	cellular lipid metabolic process
http://purl.obolibrary.org/obo/IAO_0000115	definition	skos:exactMatch	intermine:GOTerm.description	GOTerm.description	semapv:UnspecifiedMatching	1.0	"IAO_0000115 = ""definition""; obo source stores the def in description"	Class	obo:IAO_0000115	main	sure	java:OboConverter				no		literal	yes	The chemical reactions and pathways involving lipids, as car
http://www.geneontology.org/formats/oboInOwl#hasDbXref	xref	sssom:NoMapping	sssom:NoTermFound		semapv:UnspecifiedMatching		OntologyTerm.crossReferences is a collection of *OntologyTerm* (not CrossReference); mapping it would create bare OntologyTerm items for the xref ids - decide or drop	Class	oboinowl:hasDbXref	main_xref	todo	knowledge				no		iri	yes	Reactome:REACT_28392
http://www.geneontology.org/formats/oboInOwl#hasExactSynonym	synonym	skos:exactMatch	intermine:OntologyTermSynonym.name	OntologyTermSynonym.name	semapv:UnspecifiedMatching	1.0	obo source stores each synonym with its scope in OntologyTermSynonym.type	Class	oboinowl:hasExactSynonym	main_synonym	sure	java:OboConverter				no	GOTerm.synonyms	literal	yes	cellular lipid metabolism
http://www.geneontology.org/formats/oboInOwl#hasOBONamespace	namespace	skos:exactMatch	intermine:GOTerm.namespace	GOTerm.namespace	semapv:UnspecifiedMatching	1.0		Class	oboinowl:hasOBONamespace	main	sure	java:OboConverter				no		literal	yes	biological_process
http://www.geneontology.org/formats/oboInOwl#inSubset	subset	sssom:NoMapping	sssom:NoTermFound		semapv:UnspecifiedMatching		spec D2 - GO slim subsets; extend the model or exclude	Class	oboinowl:inSubset	main_subset	todo	spec-D2				no		iri	yes	go:goslim_pir
http://www.w3.org/2000/01/rdf-schema#subClassOf	superclass	skos:closeMatch	intermine:OntologyTerm.identifier	OntologyTerm.identifier	semapv:UnspecifiedMatching	0.5	is_a parents (obo source fills OntologyTerm.parents); parents from other ontologies (BFO, CARO) will be dangling items - add a filter if wanted	Class	rdfs:subClassOf	main_superclass	guess	java:OboConverter	iri_localname,replace:_:\:			no	GOTerm.parents	iri	yes	obo:GO_0044237
rdfc2im:self	Class	sssom:NoMapping			semapv:UnspecifiedMatching		oboinowl:id carries the identifier; the IRI is redundant	Class	-self-	main	drop	knowledge	iri_localname			no		iri	no	obo:GO_0044255
rdfc2im:const	const_OntologyTermSynonym_type	skos:exactMatch	intermine:OntologyTermSynonym.type	OntologyTermSynonym.type	semapv:UnspecifiedMatching	1.0	constant for synonym	Class	-const-	main_synonym	sure	java:OboConverter			exact	no		const	no	
rdfc2im:const	const_Ontology_name	skos:exactMatch	intermine:Ontology.name	Ontology.name	semapv:UnspecifiedMatching	1.0	constant on every table	Class	-const-	*	sure	sources.yaml			GO	no		const	no	
