#mapping_set_id: https://w3id.org/rdfc2im/mappings/hpo
#mapping_set_title: rdf-config hpo -> HumanMine (rdfc2im)
#mapping_set_description: 'Predicate-level mapping from the rdf-config model onto the InterMine model. Editable columns: object_id,
#  comment, ext_table, ext_status, ext_transform, ext_filter, ext_value, ext_required. ext_status is the operational switch
#  (sure/human/guess load; todo/drop/link do not).'
#license: https://creativecommons.org/publicdomain/zero/1.0/
#curie_map:
#  intermine: https://w3id.org/intermine/
#  rdfc2im: https://w3id.org/rdfc2im/
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  sssom: https://w3id.org/sssom/
#  hp: 'http://identifiers.org/HP:'
#  oboinowl: http://www.geneontology.org/formats/oboInOwl#
#  obo: http://purl.obolibrary.org/obo/
#  rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#  rdfs: http://www.w3.org/2000/01/rdf-schema#
#  owl: http://www.w3.org/2002/07/owl#
#extension_definitions:
#- slot_name: ext_subject
#  property: rdfc2im:subject
#  type_hint: xsd:string
#- slot_name: ext_predicate
#  property: rdfc2im:predicate
#  type_hint: xsd:string
#- slot_name: ext_table
#  property: rdfc2im:table
#  type_hint: xsd:string
#- slot_name: ext_status
#  property: rdfc2im:status
#  type_hint: xsd:string
#- slot_name: ext_basis
#  property: rdfc2im:basis
#  type_hint: xsd:string
#- slot_name: ext_transform
#  property: rdfc2im:transform
#  type_hint: xsd:string
#- slot_name: ext_filter
#  property: rdfc2im:filter
#  type_hint: xsd:string
#- slot_name: ext_value
#  property: rdfc2im:value
#  type_hint: xsd:string
#- slot_name: ext_required
#  property: rdfc2im:required
#  type_hint: xsd:string
#- slot_name: ext_via
#  property: rdfc2im:via
#  type_hint: xsd:string
#- slot_name: ext_kind
#  property: rdfc2im:kind
#  type_hint: xsd:string
#- slot_name: ext_multi
#  property: rdfc2im:multi
#  type_hint: xsd:string
#- slot_name: ext_example
#  property: rdfc2im:example
#  type_hint: xsd:string
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment	ext_subject	ext_predicate	ext_table	ext_status	ext_basis	ext_transform	ext_filter	ext_value	ext_required	ext_via	ext_kind	ext_multi	ext_example
http://purl.obolibrary.org/obo/IAO_0000115	definition	skos:exactMatch	intermine:HPOTerm.description	HPOTerm.description	semapv:UnspecifiedMatching	1.0	"IAO_0000115 = ""definition""; obo source stores the def in description"	Class	obo:IAO_0000115	main	sure	java:OboConverter				no		literal	yes	A reduction in erythrocytes volume or hemoglobin concentrati
http://www.geneontology.org/formats/oboInOwl#hasAlternativeId	alternativeid	sssom:NoMapping	sssom:NoTermFound		semapv:UnspecifiedMatching		secondary GO/HP ids; no attribute - could become OntologyTermSynonym type=alt_id	Class	oboinowl:hasAlternativeId	main_alternativeid	todo	knowledge				no		iri	yes	HP:0003136
http://www.geneontology.org/formats/oboInOwl#hasDbXref	snomedct	sssom:NoMapping	sssom:NoTermFound		semapv:UnspecifiedMatching		OntologyTerm.crossReferences is a collection of *OntologyTerm* (not CrossReference); mapping it would create bare OntologyTerm items for the xref ids - decide or drop	Class	oboinowl:hasDbXref	main_snomedct	todo	knowledge				no		iri	yes	SNOMEDCT_US:271737000
http://www.geneontology.org/formats/oboInOwl#hasExactSynonym	exactsynonym	skos:exactMatch	intermine:OntologyTermSynonym.name	OntologyTermSynonym.name	semapv:UnspecifiedMatching	1.0	obo source stores each synonym with its scope in OntologyTermSynonym.type	Class	oboinowl:hasExactSynonym	main_exactsynonym	sure	java:OboConverter				no	HPOTerm.synonyms	literal	yes	Low number of red blood cells or hemoglobin
http://www.geneontology.org/formats/oboInOwl#hasOBONamespace	namespace	skos:exactMatch	intermine:HPOTerm.namespace	HPOTerm.namespace	semapv:UnspecifiedMatching	1.0		Class	oboinowl:hasOBONamespace	main	sure	java:OboConverter				no		literal	yes	human_phenotype
http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym	relatedsynonym	skos:exactMatch	intermine:OntologyTermSynonym.name	OntologyTermSynonym.name	semapv:UnspecifiedMatching	1.0		Class	oboinowl:hasRelatedSynonym	main_relatedsynonym	sure	java:OboConverter				no	HPOTerm.synonyms	literal	yes	Decreased hemoglobin
http://www.geneontology.org/formats/oboInOwl#id	id	skos:exactMatch	intermine:HPOTerm.identifier	HPOTerm.identifier	semapv:UnspecifiedMatching	1.0	e.g. GO:0044255 - exactly what the obo source stores in identifier	Class	oboinowl:id	main	sure	java:OboConverter				yes		iri	no	HP:0001903
http://www.w3.org/2000/01/rdf-schema#comment	comment	sssom:NoMapping	sssom:NoTermFound		semapv:UnspecifiedMatching		free-text comment; no field (description already used for the definition)	Class	rdfs:comment	main_comment	todo	knowledge				no		literal	yes	Anemia is not a specific entity but can result from many und
http://www.w3.org/2000/01/rdf-schema#label	class_label	skos:exactMatch	intermine:HPOTerm.name	HPOTerm.name	semapv:MappingChaining	1.0	term match: OntologyTerm.name	Class	rdfs:label	main	sure	term				no		literal	yes	Anemia
http://www.w3.org/2000/01/rdf-schema#seeAlso	hpo	sssom:NoMapping			semapv:UnspecifiedMatching			Class	rdfs:seeAlso	main_hpo	drop	knowledge				no		iri	yes	hp:0001903
