#mapping_set_id: https://w3id.org/rdfc2im/mappings/mesh
#mapping_set_title: rdf-config mesh -> HumanMine (rdfc2im)
#mapping_set_description: 'Predicate-level mapping from the rdf-config model onto the InterMine model. Editable columns: object_id,
#  comment, ext_table, ext_status, ext_transform, ext_filter, ext_value, ext_required. ext_status is the operational switch
#  (sure/human/guess load; todo/drop/link do not).'
#license: https://creativecommons.org/publicdomain/zero/1.0/
#curie_map:
#  intermine: https://w3id.org/intermine/
#  rdfc2im: https://w3id.org/rdfc2im/
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  sssom: https://w3id.org/sssom/
#  rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#  rdfs: http://www.w3.org/2000/01/rdf-schema#
#  owl: http://www.w3.org/2002/07/owl#
#  xsd: http://www.w3.org/2001/XMLSchema#
#  mesh: http://id.nlm.nih.gov/mesh/
#  meshv: http://id.nlm.nih.gov/mesh/vocab#
#extension_definitions:
#- slot_name: ext_subject
#  property: rdfc2im:subject
#  type_hint: xsd:string
#- slot_name: ext_predicate
#  property: rdfc2im:predicate
#  type_hint: xsd:string
#- slot_name: ext_table
#  property: rdfc2im:table
#  type_hint: xsd:string
#- slot_name: ext_status
#  property: rdfc2im:status
#  type_hint: xsd:string
#- slot_name: ext_basis
#  property: rdfc2im:basis
#  type_hint: xsd:string
#- slot_name: ext_transform
#  property: rdfc2im:transform
#  type_hint: xsd:string
#- slot_name: ext_filter
#  property: rdfc2im:filter
#  type_hint: xsd:string
#- slot_name: ext_value
#  property: rdfc2im:value
#  type_hint: xsd:string
#- slot_name: ext_required
#  property: rdfc2im:required
#  type_hint: xsd:string
#- slot_name: ext_via
#  property: rdfc2im:via
#  type_hint: xsd:string
#- slot_name: ext_kind
#  property: rdfc2im:kind
#  type_hint: xsd:string
#- slot_name: ext_multi
#  property: rdfc2im:multi
#  type_hint: xsd:string
#- slot_name: ext_example
#  property: rdfc2im:example
#  type_hint: xsd:string
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment	ext_subject	ext_predicate	ext_table	ext_status	ext_basis	ext_transform	ext_filter	ext_value	ext_required	ext_via	ext_kind	ext_multi	ext_example
http://www.w3.org/2000/01/rdf-schema#label	descriptor_label	skos:exactMatch	intermine:MeshTerm.name	MeshTerm.name	semapv:UnspecifiedMatching	1.0	MeshTerm.name is the descriptor label (update-publications loads the same)	Descriptor	rdfs:label	main	sure	knowledge				yes		literal	yes	Aneurysm, Infected
http://id.nlm.nih.gov/mesh/vocab#identifier	descriptor_id	skos:closeMatch	intermine:MeshTerm.identifier	MeshTerm.identifier	semapv:UnspecifiedMatching	0.5	new field (curation/extensions_additions.xml); pubmed fabio:hasSubjectTerm supplies the same D-ids	Descriptor	meshv:identifier	main	guess	knowledge+new-field				yes		literal	no	D000785
http://id.nlm.nih.gov/mesh/vocab#annotation	descriptor_annotation	sssom:NoMapping	sssom:NoTermFound		semapv:UnspecifiedMatching		no match on MeshTerm - choose a field, or set status=drop	Descriptor	meshv:annotation	main	todo					no		literal	no	coordinate IM with specific bacteria or fungal infection (IM
http://id.nlm.nih.gov/mesh/vocab#nlmClassificationNumber	descriptor_nlm_classification_number	sssom:NoMapping	sssom:NoTermFound		semapv:UnspecifiedMatching		no match on MeshTerm - choose a field, or set status=drop	Descriptor	meshv:nlmClassificationNumber	main	todo					no		literal	no	WG 580
http://id.nlm.nih.gov/mesh/vocab#concept	descriptor_concept	sssom:NoMapping			semapv:UnspecifiedMatching			Descriptor	meshv:concept	main_descriptor_concept	link	structure				no		link	yes	Concept
http://id.nlm.nih.gov/mesh/vocab#preferredConcept	descriptor_preferred_concept	sssom:NoMapping	sssom:NoTermFound		semapv:UnspecifiedMatching		no match on MeshTerm - choose a field, or set status=drop	Descriptor	meshv:preferredConcept	main	todo					no		iri	no	Concept
http://id.nlm.nih.gov/mesh/vocab#preferredTerm	descriptor_preferred_term	sssom:NoMapping			semapv:UnspecifiedMatching			Descriptor	meshv:preferredTerm	main	link	structure				no		link	no	Term
http://id.nlm.nih.gov/mesh/vocab#broaderDescriptor	broader_descriptor	sssom:NoMapping	sssom:NoTermFound		semapv:UnspecifiedMatching		MeshTerm has no parents collection; drop or extend the model	Descriptor	meshv:broaderDescriptor	main_broader_descriptor	todo	knowledge				no		iri	yes	Descriptor
http://id.nlm.nih.gov/mesh/vocab#allowableQualifier	descriptor_allowable_qualifier	sssom:NoMapping			semapv:UnspecifiedMatching			Descriptor	meshv:allowableQualifier	main_descriptor_allowable_qualifier	link	structure				no		link	yes	Qualifier
http://id.nlm.nih.gov/mesh/vocab#treeNumber	descriptor_tree_number	sssom:NoMapping			semapv:UnspecifiedMatching			Descriptor	meshv:treeNumber	main_descriptor_tree_number	link	structure				no		link	yes	TreeNumber
