#mapping_set_id: https://w3id.org/rdfc2im/mappings/mp
#mapping_set_title: rdf-config mp -> HumanMine (rdfc2im)
#mapping_set_description: 'Predicate-level mapping from the rdf-config model onto the InterMine model. Editable columns: object_id,
#  comment, ext_table, ext_status, ext_transform, ext_filter, ext_value, ext_required. ext_status is the operational switch
#  (sure/human/guess load; todo/drop/link do not).'
#license: https://creativecommons.org/publicdomain/zero/1.0/
#curie_map:
#  intermine: https://w3id.org/intermine/
#  rdfc2im: https://w3id.org/rdfc2im/
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  sssom: https://w3id.org/sssom/
#  rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#  obo: http://purl.obolibrary.org/obo/
#  rdfs: http://www.w3.org/2000/01/rdf-schema#
#  oboinowl: http://www.geneontology.org/formats/oboInOwl#
#  owl: http://www.w3.org/2002/07/owl#
#  dc: http://purl.org/dc/elements/1.1/
#  dcterms: http://purl.org/dc/terms/
#  metadata: http://data.bioontology.org/metadata/
#extension_definitions:
#- slot_name: ext_subject
#  property: rdfc2im:subject
#  type_hint: xsd:string
#- slot_name: ext_predicate
#  property: rdfc2im:predicate
#  type_hint: xsd:string
#- slot_name: ext_table
#  property: rdfc2im:table
#  type_hint: xsd:string
#- slot_name: ext_status
#  property: rdfc2im:status
#  type_hint: xsd:string
#- slot_name: ext_basis
#  property: rdfc2im:basis
#  type_hint: xsd:string
#- slot_name: ext_transform
#  property: rdfc2im:transform
#  type_hint: xsd:string
#- slot_name: ext_filter
#  property: rdfc2im:filter
#  type_hint: xsd:string
#- slot_name: ext_value
#  property: rdfc2im:value
#  type_hint: xsd:string
#- slot_name: ext_required
#  property: rdfc2im:required
#  type_hint: xsd:string
#- slot_name: ext_via
#  property: rdfc2im:via
#  type_hint: xsd:string
#- slot_name: ext_kind
#  property: rdfc2im:kind
#  type_hint: xsd:string
#- slot_name: ext_multi
#  property: rdfc2im:multi
#  type_hint: xsd:string
#- slot_name: ext_example
#  property: rdfc2im:example
#  type_hint: xsd:string
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment	ext_subject	ext_predicate	ext_table	ext_status	ext_basis	ext_transform	ext_filter	ext_value	ext_required	ext_via	ext_kind	ext_multi	ext_example
http://www.geneontology.org/formats/oboInOwl#id	id	skos:exactMatch	intermine:MammalianPhenotypeTerm.identifier	MammalianPhenotypeTerm.identifier	semapv:UnspecifiedMatching	1.0	"e.g. GO:0044255 - exactly what the obo source stores in identifier.  The filter is not cosmetic: OBO ontologies give oboinowl:id to OWL object and annotation properties as well as to classes, so a full GO extract yields 11 rows whose ""identifier"" is a relationship name - part_of, occurs_in, regulates, ends_during, happens_during, starts_during, has_part, positively_regulates, negatively_regulates, has_ontology_root_term, term_tracker_item. They loaded as GOTerms and sorted to the top of the class in the UI.  Requiring the PREFIX:digits shape keeps every real term (GO:, HP:, MP:, UBERON:) and drops these; the column is required=yes, so a failing row is dropped rather than blanked."	Class	oboinowl:id	main	sure	java:OboConverter		regex:^[A-Za-z][A-Za-z0-9]*:[0-9]+$		yes		iri	no	MP:0000026
http://www.w3.org/2000/01/rdf-schema#label	label	skos:exactMatch	intermine:MammalianPhenotypeTerm.name	MammalianPhenotypeTerm.name	semapv:MappingChaining	1.0	term match: OntologyTerm.name	Class	rdfs:label	main	sure	term				no		literal	no	abnormal inner ear morphology
http://data.bioontology.org/metadata/treeView	tree_view	sssom:NoMapping			semapv:UnspecifiedMatching		BioPortal browsing artefact; is_a already gives OntologyTerm.parents	Class	metadata:treeView	main_tree_view	drop	knowledge				no		iri	yes	Class
http://purl.obolibrary.org/obo/IAO_0000115	definition	skos:exactMatch	intermine:MammalianPhenotypeTerm.description	MammalianPhenotypeTerm.description	semapv:UnspecifiedMatching	1.0	"IAO_0000115 = ""definition""; obo source stores the def in description"	Class	obo:IAO_0000115	main	sure	java:OboConverter				no		literal	no	any structural anomaly of any components of the labyrinth, i
http://www.geneontology.org/formats/oboInOwl#hasDbXref	database_cross_reference	skos:exactMatch	intermine:OntologyTerm.identifier	OntologyTerm.identifier	semapv:UnspecifiedMatching	1.0	Exactly what stock HumanMine loads: OboParser reads `xref`, and OboConverter.createXref builds an OntologyTerm with that identifier and adds it to crossReferences.  The collection holds OntologyTerm, not CrossReference, so xref ids like Reactome:REACT_28392 become identifier-only OntologyTerms - that is the stock behaviour this replaces, not a side effect.	Class	oboinowl:hasDbXref	main_database_cross_reference	sure	java:OboConverter				no	MammalianPhenotypeTerm.crossReferences	iri	yes	GO:0042472
http://www.geneontology.org/formats/oboInOwl#hasExactSynonym	has_exact_synonym	skos:exactMatch	intermine:OntologyTermSynonym.name	OntologyTermSynonym.name	semapv:UnspecifiedMatching	1.0	obo source stores each synonym with its scope in OntologyTermSynonym.type	Class	oboinowl:hasExactSynonym	main_has_exact_synonym	sure	java:OboConverter				no	MammalianPhenotypeTerm.synonyms	literal	yes	inner ear dysplasia
http://www.geneontology.org/formats/oboInOwl#hasOBONamespace	has_obo_namespace	skos:exactMatch	intermine:MammalianPhenotypeTerm.namespace	MammalianPhenotypeTerm.namespace	semapv:UnspecifiedMatching	1.0		Class	oboinowl:hasOBONamespace	main	sure	java:OboConverter				no		literal	no	MPheno.ontology
http://www.w3.org/2000/01/rdf-schema#subClassOf	subclass_of	skos:closeMatch	intermine:OntologyTerm.identifier	OntologyTerm.identifier	semapv:UnspecifiedMatching	0.5	"is_a parents (obo source fills OntologyTerm.parents).  The filter runs on the raw term, before the transform, and is not optional: in OWL, rdfs:subClassOf also points at anonymous class expressions (owl:Restriction, ""part_of some X"").  A full GO extract returns 92,208 superclass rows of which 16,178 are blank nodes and 3 are owl:Thing; without the filter iri_localname turned each blank node into a GOTerm whose identifier was its node id, adding 16k junk parents.  Restricting to the OBO namespace keeps legitimate cross-ontology parents (BFO, CARO), which still arrive as identifier-only stub items - filter harder if unwanted."	Class	rdfs:subClassOf	main_subclass_of	guess	java:OboConverter	iri_localname,replace:_:\:	regex:^https?://purl\.obolibrary\.org/obo/		no	MammalianPhenotypeTerm.parents	iri	yes	Class
http://www.w3.org/2004/02/skos/core#notation	notation	sssom:NoMapping	intermine:MammalianPhenotypeTerm.identifier	MammalianPhenotypeTerm.identifier	semapv:UnspecifiedMatching		duplicates oboinowl:id	Class	skos:notation	main	drop	knowledge				yes		iri	no	MP:0000026
http://purl.obolibrary.org/obo/IAO_0000231	has_obsolescence_reason	sssom:NoMapping			semapv:UnspecifiedMatching		obsolescence reason	Class	obo:IAO_0000231	main_has_obsolescence_reason	drop	knowledge				no		iri	yes	obo:IAO_0000227
