#mapping_set_id: https://w3id.org/rdfc2im/mappings/pubmed
#mapping_set_title: rdf-config pubmed -> HumanMine (rdfc2im)
#mapping_set_description: 'Predicate-level mapping from the rdf-config model onto the InterMine model. Editable columns: object_id,
#  comment, ext_table, ext_status, ext_transform, ext_filter, ext_value, ext_required. ext_status is the operational switch
#  (sure/human/guess load; todo/drop/link do not).'
#license: https://creativecommons.org/publicdomain/zero/1.0/
#curie_map:
#  intermine: https://w3id.org/intermine/
#  rdfc2im: https://w3id.org/rdfc2im/
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  sssom: https://w3id.org/sssom/
#  mesh: http://id.nlm.nih.gov/mesh/
#  meshv: http://id.nlm.nih.gov/mesh/vocab#
#  prism: http://prismstandard.org/namespeces/1.2/basic/
#  pubmedpurl: http://purl.jp/bio/10/pubmed/
#  bibo: http://purl.org/ontology/bibo/
#  olo: http://purl.org/ontology/olo/core#
#  pav: http://purl.org/pav/
#  fabio: http://purl.org/spar/fabio/
#  pubmed: http://rdf.ncbi.nlm.nih.gov/pubmed/
#  dct: http://purl.org/dc/terms/
#  rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#  rdfs: http://www.w3.org/2000/01/rdf-schema#
#  org: http://www.w3.org/ns/org#
#  foaf: http://xmlns.com/foaf/0.1/
#  sio: http://semanticscience.org/resource/
#extension_definitions:
#- slot_name: ext_subject
#  property: rdfc2im:subject
#  type_hint: xsd:string
#- slot_name: ext_predicate
#  property: rdfc2im:predicate
#  type_hint: xsd:string
#- slot_name: ext_table
#  property: rdfc2im:table
#  type_hint: xsd:string
#- slot_name: ext_status
#  property: rdfc2im:status
#  type_hint: xsd:string
#- slot_name: ext_basis
#  property: rdfc2im:basis
#  type_hint: xsd:string
#- slot_name: ext_transform
#  property: rdfc2im:transform
#  type_hint: xsd:string
#- slot_name: ext_filter
#  property: rdfc2im:filter
#  type_hint: xsd:string
#- slot_name: ext_value
#  property: rdfc2im:value
#  type_hint: xsd:string
#- slot_name: ext_required
#  property: rdfc2im:required
#  type_hint: xsd:string
#- slot_name: ext_via
#  property: rdfc2im:via
#  type_hint: xsd:string
#- slot_name: ext_kind
#  property: rdfc2im:kind
#  type_hint: xsd:string
#- slot_name: ext_multi
#  property: rdfc2im:multi
#  type_hint: xsd:string
#- slot_name: ext_example
#  property: rdfc2im:example
#  type_hint: xsd:string
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment	ext_subject	ext_predicate	ext_table	ext_status	ext_basis	ext_transform	ext_filter	ext_value	ext_required	ext_via	ext_kind	ext_multi	ext_example
http://prismstandard.org/namespeces/1.2/basic/doi	doi_prism	skos:exactMatch	intermine:Publication.doi	Publication.doi	semapv:UnspecifiedMatching	1.0		Pubmed	prism:doi	main	sure	knowledge				no		literal	no	10.1038/s41431-019-0518-y
http://prismstandard.org/namespeces/1.2/basic/eISSN	eissn	sssom:NoMapping	sssom:NoTermFound		semapv:UnspecifiedMatching		no match on Publication - choose a field, or set status=drop	Pubmed	prism:eISSN	main	todo					no		literal	no	1476-5438
http://prismstandard.org/namespeces/1.2/basic/endingPage	ending_page	sssom:NoMapping	sssom:NoTermFound		semapv:UnspecifiedMatching		see startingPage	Pubmed	prism:endingPage	main	todo	knowledge				no		literal	no	382
http://prismstandard.org/namespeces/1.2/basic/publicationName	publication_name	sssom:NoMapping			semapv:UnspecifiedMatching		full journal title; journal takes the abbreviation	Pubmed	prism:publicationName	main	drop	knowledge				no		literal	no	European journal of human genetics : EJHG
http://prismstandard.org/namespeces/1.2/basic/startingPage	starting_page	skos:closeMatch	intermine:Publication.pages	Publication.pages	semapv:UnspecifiedMatching	0.5	pages is start-end; a two-column merge transform is needed or take startingPage only	Pubmed	prism:startingPage	main	guess	knowledge				no		literal	no	378
http://purl.jp/bio/10/pubmed/dp	publication_date	sssom:NoMapping			semapv:UnspecifiedMatching			Pubmed	pubmedpurl:dp	main	drop	knowledge				no		literal	no	2020 03
http://purl.org/dc/terms/created	created_date	sssom:NoMapping			semapv:UnspecifiedMatching			Pubmed	dct:created	main_created_date	drop	knowledge				no		literal	yes	2019-9-28T06:00
http://purl.org/dc/terms/creator	_bn1	sssom:NoMapping			semapv:UnspecifiedMatching			Pubmed	dct:creator	main	link	structure				no		bnode	no	[]
http://purl.org/dc/terms/identifier	identifier	skos:exactMatch	intermine:Publication.pubMedId	Publication.pubMedId	semapv:UnspecifiedMatching	1.0		Pubmed	dct:identifier	main	sure	knowledge				yes		literal	no	31558841
http://purl.org/dc/terms/issued	date_issued	skos:closeMatch	intermine:Publication.year	Publication.year	semapv:UnspecifiedMatching	0.5		Pubmed	dct:issued	main	guess	knowledge	regex:^(\d{4})			no		literal	no	2020-03-01
http://purl.org/dc/terms/language	lang	sssom:NoMapping	sssom:NoTermFound		semapv:UnspecifiedMatching		no match on Publication - choose a field, or set status=drop	Pubmed	dct:language	main	todo					no		literal	no	eng
http://purl.org/dc/terms/source	journal_name	sssom:NoMapping			semapv:UnspecifiedMatching			Pubmed	dct:source	main	drop	knowledge				no		literal	no	Eur J Hum Genet. 2020-03;28(3):378-382.
http://purl.org/dc/terms/title	title	skos:exactMatch	intermine:Publication.title	Publication.title	semapv:MappingChaining	1.0		Pubmed	dct:title	main	sure	term				no		literal	no	Functional variants in ADH1B and ALDH2 are non-additively as
