#mapping_set_id: https://w3id.org/rdfc2im/mappings/reactome
#mapping_set_title: rdf-config reactome -> HumanMine (rdfc2im)
#mapping_set_description: 'Predicate-level mapping from the rdf-config model onto the InterMine model. Editable columns: object_id,
#  comment, ext_table, ext_status, ext_transform, ext_filter, ext_value, ext_required. ext_status is the operational switch
#  (sure/human/guess load; todo/drop/link do not).'
#license: https://creativecommons.org/publicdomain/zero/1.0/
#curie_map:
#  intermine: https://w3id.org/intermine/
#  rdfc2im: https://w3id.org/rdfc2im/
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  sssom: https://w3id.org/sssom/
#  biopax: http://www.biopax.org/release/biopax-level3.owl#
#  reactome: http://www.reactome.org/biopax/84/48887#
#  rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#extension_definitions:
#- slot_name: ext_subject
#  property: rdfc2im:subject
#  type_hint: xsd:string
#- slot_name: ext_predicate
#  property: rdfc2im:predicate
#  type_hint: xsd:string
#- slot_name: ext_table
#  property: rdfc2im:table
#  type_hint: xsd:string
#- slot_name: ext_status
#  property: rdfc2im:status
#  type_hint: xsd:string
#- slot_name: ext_basis
#  property: rdfc2im:basis
#  type_hint: xsd:string
#- slot_name: ext_transform
#  property: rdfc2im:transform
#  type_hint: xsd:string
#- slot_name: ext_filter
#  property: rdfc2im:filter
#  type_hint: xsd:string
#- slot_name: ext_value
#  property: rdfc2im:value
#  type_hint: xsd:string
#- slot_name: ext_required
#  property: rdfc2im:required
#  type_hint: xsd:string
#- slot_name: ext_via
#  property: rdfc2im:via
#  type_hint: xsd:string
#- slot_name: ext_kind
#  property: rdfc2im:kind
#  type_hint: xsd:string
#- slot_name: ext_multi
#  property: rdfc2im:multi
#  type_hint: xsd:string
#- slot_name: ext_example
#  property: rdfc2im:example
#  type_hint: xsd:string
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment	ext_subject	ext_predicate	ext_table	ext_status	ext_basis	ext_transform	ext_filter	ext_value	ext_required	ext_via	ext_kind	ext_multi	ext_example
http://www.biopax.org/release/biopax-level3.owl#comment	pathway_description	skos:closeMatch	intermine:Pathway.description	Pathway.description	semapv:UnspecifiedMatching	0.5	Pathway has no description attribute today - it would be a new field (not in spec section 8; decide)	Pathway	biopax:comment	main	guess	knowledge				no		literal	no	Metabolic processes in human cells generate energy through .
http://www.biopax.org/release/biopax-level3.owl#dataSource	provenance	sssom:NoMapping			semapv:UnspecifiedMatching			Pathway	biopax:dataSource	main	drop	knowledge				no		link	no	Provenance
http://www.biopax.org/release/biopax-level3.owl#displayName	pathway_display_name	skos:exactMatch	intermine:Pathway.name	Pathway.name	semapv:UnspecifiedMatching	1.0		Pathway	biopax:displayName	main	sure	java:ReactomeConverter				no		literal	no	Metabolism
http://www.biopax.org/release/biopax-level3.owl#name	pathway_name	sssom:NoMapping			semapv:UnspecifiedMatching		multi-valued alternative names; displayName is the canonical one	Pathway	biopax:name	main_pathway_name	drop	knowledge				no		literal	yes	Methylation of Histones and DNA by Polycomb Repressive Compl
http://www.biopax.org/release/biopax-level3.owl#organism	organism	sssom:NoMapping			semapv:UnspecifiedMatching			Pathway	biopax:organism	main	link	structure				no		link	no	Organism
http://www.biopax.org/release/biopax-level3.owl#pathwayComponent	pathway_component	sssom:NoMapping	sssom:NoTermFound		semapv:UnspecifiedMatching		the approved PathwayReaction extension (curation/extensions_additions.xml) - but the reactions and participants subtree is pruned, and it is the same subtree that carries gene/pathway membership. Decide together with whether reactome may replace the stock source	Pathway	biopax:pathwayComponent	main_pathway_component	todo	spec-section-8				no		link	yes	Pathway | BiochemicalReaction | TemplateReaction
http://www.biopax.org/release/biopax-level3.owl#pathwayOrder	pathway_step	sssom:NoMapping			semapv:UnspecifiedMatching			Pathway	biopax:pathwayOrder	main_pathway_step	drop	knowledge				no		link	yes	PathwayStep
http://www.biopax.org/release/biopax-level3.owl#xref	pathway_xref	sssom:NoMapping			semapv:UnspecifiedMatching			Pathway	biopax:xref	main_pathway_xref	link	structure				no		link	yes	PublicationXref | RelationshipXref | UnificationXref
http://www.biopax.org/release/biopax-level3.owl#comment	provenance_comment	sssom:NoMapping	sssom:NoTermFound		semapv:UnspecifiedMatching		subject not bound to a class (see subjects.tsv)	Provenance	biopax:comment	drop	todo					no		iri	yes	http://www.reactome.org
http://www.biopax.org/release/biopax-level3.owl#name	provenance_name	sssom:NoMapping	sssom:NoTermFound		semapv:UnspecifiedMatching		subject not bound to a class (see subjects.tsv)	Provenance	biopax:name	drop	todo					no		literal	no	Reactome
