subject	im_class	role	status	basis	rdf_types	path	example	note
Pathway	Pathway	root	sure	term+java:ReactomeConverter	biopax:Pathway	(root)	reactome:Pathway655	
Provenance		node	todo		biopax:Provenance	biopax:dataSource	reactome:Provenance1	no term/knowledge/name match - bind by hand or set role=skip
Organism	Organism	node	sure	java:ReactomeConverter	biopax:BioSource	biopax:organism	reactome:BioSource1	converter parses the BioSource name into Organism
BiochemicalReaction	PathwayReaction	node	guess	spec-section-8	biopax:BiochemicalReaction	biopax:pathwayComponent+	reactome:BiochemicalReaction4485	new class proposed in the specification (Reactome Phase 1)
TemplateReaction		node	todo		biopax:TemplateReaction	biopax:pathwayComponent+	reactome:TemplateReaction1	no term/knowledge/name match - bind by hand or set role=skip
Degradation		node	todo		biopax:Degradation	biopax:pathwayComponent+	reactome:Degradation10	no term/knowledge/name match - bind by hand or set role=skip
PathwayStep		node	todo		biopax:PathwayStep	biopax:pathwayOrder+	reactome:PathwayStep5135	no term/knowledge/name match - bind by hand or set role=skip
PublicationXref	Publication	node	guess	knowledge	biopax:PublicationXref	biopax:xref*	reactome:PublicationXref10806	
RelationshipXref		node	todo		biopax:RelationshipXref	biopax:xref*	reactome:RelationshipXref4654	no term/knowledge/name match - bind by hand or set role=skip
UnificationXref	Pathway	node	guess	knowledge	biopax:UnificationXref	biopax:xref*	reactome:UnificationXref79533	UnificationXref with db Reactome carries the stable id R-HSA-nnn -> Pathway.identifier
OrganismXref	Pathway	node	guess	knowledge	biopax:UnificationXref	biopax:organism / biopax:xref	reactome:UnificationXref6	UnificationXref with db Reactome carries the stable id R-HSA-nnn -> Pathway.identifier
LeftComplex		node	todo		biopax:Complex	biopax:pathwayComponent+ / biopax:left*	reactome:Complex5217	no term/knowledge/name match - bind by hand or set role=skip
LeftSmallMolecule		node	todo		biopax:SmallMolecule	biopax:pathwayComponent+ / biopax:left*	reactome:SmallMolecule1314	no term/knowledge/name match - bind by hand or set role=skip
