#mapping_set_id: https://w3id.org/rdfc2im/mappings/uberon
#mapping_set_title: rdf-config uberon -> HumanMine (rdfc2im)
#mapping_set_description: 'Predicate-level mapping from the rdf-config model onto the InterMine model. Editable columns: object_id,
#  comment, ext_table, ext_status, ext_transform, ext_filter, ext_value, ext_required. ext_status is the operational switch
#  (sure/human/guess load; todo/drop/link do not).'
#license: https://creativecommons.org/publicdomain/zero/1.0/
#curie_map:
#  intermine: https://w3id.org/intermine/
#  rdfc2im: https://w3id.org/rdfc2im/
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  sssom: https://w3id.org/sssom/
#  dc: http://purl.org/dc/elements/1.1/
#  dcterms: http://purl.org/dc/terms/
#  rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#  rdfs: http://www.w3.org/2000/01/rdf-schema#
#  owl: http://www.w3.org/2002/07/owl#
#  oboinowl: http://www.geneontology.org/formats/oboInOwl#
#  foaf: http://xmlns.com/foaf/0.1/
#  obo: http://purl.obolibrary.org/obo/
#extension_definitions:
#- slot_name: ext_subject
#  property: rdfc2im:subject
#  type_hint: xsd:string
#- slot_name: ext_predicate
#  property: rdfc2im:predicate
#  type_hint: xsd:string
#- slot_name: ext_table
#  property: rdfc2im:table
#  type_hint: xsd:string
#- slot_name: ext_status
#  property: rdfc2im:status
#  type_hint: xsd:string
#- slot_name: ext_basis
#  property: rdfc2im:basis
#  type_hint: xsd:string
#- slot_name: ext_transform
#  property: rdfc2im:transform
#  type_hint: xsd:string
#- slot_name: ext_filter
#  property: rdfc2im:filter
#  type_hint: xsd:string
#- slot_name: ext_value
#  property: rdfc2im:value
#  type_hint: xsd:string
#- slot_name: ext_required
#  property: rdfc2im:required
#  type_hint: xsd:string
#- slot_name: ext_via
#  property: rdfc2im:via
#  type_hint: xsd:string
#- slot_name: ext_kind
#  property: rdfc2im:kind
#  type_hint: xsd:string
#- slot_name: ext_multi
#  property: rdfc2im:multi
#  type_hint: xsd:string
#- slot_name: ext_example
#  property: rdfc2im:example
#  type_hint: xsd:string
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment	ext_subject	ext_predicate	ext_table	ext_status	ext_basis	ext_transform	ext_filter	ext_value	ext_required	ext_via	ext_kind	ext_multi	ext_example
http://www.geneontology.org/formats/oboInOwl#id	id	skos:exactMatch	intermine:AnatomyTerm.identifier	AnatomyTerm.identifier	semapv:UnspecifiedMatching	1.0	"e.g. GO:0044255 - exactly what the obo source stores in identifier.  The filter is not cosmetic: OBO ontologies give oboinowl:id to OWL object and annotation properties as well as to classes, so a full GO extract yields 11 rows whose ""identifier"" is a relationship name - part_of, occurs_in, regulates, ends_during, happens_during, starts_during, has_part, positively_regulates, negatively_regulates, has_ontology_root_term, term_tracker_item. They loaded as GOTerms and sorted to the top of the class in the UI.  Requiring the PREFIX:digits shape keeps every real term (GO:, HP:, MP:, UBERON:) and drops these; the column is required=yes, so a failing row is dropped rather than blanked."	Class	oboinowl:id	main	sure	java:OboConverter		regex:^[A-Za-z][A-Za-z0-9]*:[0-9]+$		yes		iri	no	UBERON:00002048
http://www.w3.org/2000/01/rdf-schema#label	label	skos:exactMatch	intermine:AnatomyTerm.name	AnatomyTerm.name	semapv:MappingChaining	1.0	term match: OntologyTerm.name	Class	rdfs:label	main	sure	term				no		literal	no	lung
http://purl.obolibrary.org/obo/IAO_0000115	definition	skos:exactMatch	intermine:AnatomyTerm.description	AnatomyTerm.description	semapv:UnspecifiedMatching	1.0	"IAO_0000115 = ""definition""; obo source stores the def in description"	Class	obo:IAO_0000115	main	sure	java:OboConverter				no		literal	no	Respiration organ that develops as an outpocketing of the es
http://purl.obolibrary.org/obo/IAO_0000116	editor_note	sssom:NoMapping			semapv:UnspecifiedMatching		editor_note; OboParser never reads it	Class	obo:IAO_0000116	main_editor_note	drop	java:OboParser				no		literal	yes	TODO - check frog/fish
http://purl.obolibrary.org/obo/IAO_0000232	curator_note	sssom:NoMapping			semapv:UnspecifiedMatching		curator_note; OboParser never reads it	Class	obo:IAO_0000232	main_curator_note	drop	java:OboParser				no		literal	yes	See notes for pars intermedia of adenohypophysis.
http://purl.obolibrary.org/obo/IAO_0006012	scheduled_for_obsoletion_on_or_after	sssom:NoMapping			semapv:UnspecifiedMatching		scheduled_for_obsoletion_on_or_after; OboParser never reads it	Class	obo:IAO_0006012	main_scheduled_for_obsoletion_on_or_after	drop	java:OboParser				no		literal	yes	2023-04-20
http://purl.obolibrary.org/obo/IAO_0100001	term_replaced_by	sssom:NoMapping			semapv:UnspecifiedMatching		term_replaced_by: OboParser never reads `replaced_by`; obsoleteness itself is already loaded as OntologyTerm.obsolete	Class	obo:IAO_0100001	main_term_replaced_by	drop	java:OboParser				no		iri	yes	UBERON:0002275
http://purl.obolibrary.org/obo/RO_0002161	never_in_taxon	sssom:NoMapping			semapv:UnspecifiedMatching		never_in_taxon - taxon constraint; OboParser never reads it	Class	obo:RO_0002161	main_never_in_taxon	drop	java:OboParser				no		iri	yes	obo:NCBITaxon_32443
http://purl.obolibrary.org/obo/RO_0002171	mutually_spatially_disjoint_with	sssom:NoMapping			semapv:UnspecifiedMatching		mutually_spatially_disjoint_with - OWL axiom; OboParser never reads it	Class	obo:RO_0002171	main_mutually_spatially_disjoint_with	drop	java:OboParser				no		iri	yes	Class
http://purl.obolibrary.org/obo/RO_0002173	ambiguous_for_taxon	sssom:NoMapping			semapv:UnspecifiedMatching		ambiguous_for_taxon - taxon constraint; OboParser never reads it	Class	obo:RO_0002173	main_ambiguous_for_taxon	drop	java:OboParser				no		iri	yes	obo:NCBITaxon_8782
