#mapping_set_id: https://w3id.org/rdfc2im/mappings/uniprot
#mapping_set_title: rdf-config uniprot -> HumanMine (rdfc2im)
#mapping_set_description: 'Predicate-level mapping from the rdf-config model onto the InterMine model. Editable columns: object_id,
#  comment, ext_table, ext_status, ext_transform, ext_filter, ext_value, ext_required. ext_status is the operational switch
#  (sure/human/guess load; todo/drop/link do not).'
#license: https://creativecommons.org/publicdomain/zero/1.0/
#curie_map:
#  intermine: https://w3id.org/intermine/
#  rdfc2im: https://w3id.org/rdfc2im/
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  sssom: https://w3id.org/sssom/
#  rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#  rdfs: http://www.w3.org/2000/01/rdf-schema#
#  owl: http://www.w3.org/2002/07/owl#
#  xsd: http://www.w3.org/2001/XMLSchema#
#  dct: http://purl.org/dc/terms/
#  obo: http://purl.obolibrary.org/obo/
#  foaf: http://xmlns.com/foaf/0.1/
#  faldo: http://biohackathon.org/resource/faldo#
#  up: http://purl.uniprot.org/uniprot/
#  core: http://purl.uniprot.org/core/
#  taxonomy: http://purl.uniprot.org/taxonomy/
#  enzyme: http://purl.uniprot.org/enzyme/
#  citations: http://purl.uniprot.org/citations/
#  pubmed: https://pubmed.ncbi.nlm.nih.gov/
#  keywords: http://purl.uniprot.org/keywords/
#  isoforms: http://purl.uniprot.org/isoforms/
#  rhea: http://rdf.rhea-db.org/
#  dbsnp: http://purl.uniprot.org/dbsnp/
#  locations: http://purl.uniprot.org/locations/
#  annotation: http://purl.uniprot.org/annotation/
#  diseases: http://purl.uniprot.org/diseases/
#  database: http://purl.uniprot.org/database/
#  unipathway: http://purl.uniprot.org/unipathway/
#extension_definitions:
#- slot_name: ext_subject
#  property: rdfc2im:subject
#  type_hint: xsd:string
#- slot_name: ext_predicate
#  property: rdfc2im:predicate
#  type_hint: xsd:string
#- slot_name: ext_table
#  property: rdfc2im:table
#  type_hint: xsd:string
#- slot_name: ext_status
#  property: rdfc2im:status
#  type_hint: xsd:string
#- slot_name: ext_basis
#  property: rdfc2im:basis
#  type_hint: xsd:string
#- slot_name: ext_transform
#  property: rdfc2im:transform
#  type_hint: xsd:string
#- slot_name: ext_filter
#  property: rdfc2im:filter
#  type_hint: xsd:string
#- slot_name: ext_value
#  property: rdfc2im:value
#  type_hint: xsd:string
#- slot_name: ext_required
#  property: rdfc2im:required
#  type_hint: xsd:string
#- slot_name: ext_via
#  property: rdfc2im:via
#  type_hint: xsd:string
#- slot_name: ext_kind
#  property: rdfc2im:kind
#  type_hint: xsd:string
#- slot_name: ext_multi
#  property: rdfc2im:multi
#  type_hint: xsd:string
#- slot_name: ext_example
#  property: rdfc2im:example
#  type_hint: xsd:string
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment	ext_subject	ext_predicate	ext_table	ext_status	ext_basis	ext_transform	ext_filter	ext_value	ext_required	ext_via	ext_kind	ext_multi	ext_example
http://purl.uniprot.org/core/recommendedName	recommended_name_node	sssom:NoMapping			semapv:UnspecifiedMatching			UniProt	core:recommendedName	main_recommended_name_node	link	structure				no		link	yes	RecommendedNameNode
http://purl.uniprot.org/core/submittedName	submitted_name_node	sssom:NoMapping			semapv:UnspecifiedMatching			UniProt	core:submittedName	main_submitted_name_node	link	structure				no		link	yes	SubmittedNameNode
http://purl.uniprot.org/core/alternativeName	alternative_name_node	sssom:NoMapping			semapv:UnspecifiedMatching			UniProt	core:alternativeName	main_alternative_name_node	link	structure				no		link	yes	AlternativeNameNode
http://purl.uniprot.org/core/mnemonic	mnemonic	skos:exactMatch	intermine:Protein.uniprotName	Protein.uniprotName	semapv:MappingChaining	1.0		UniProt	core:mnemonic	main	sure	term				no		literal	no	ACE2_HUMAN
http://purl.uniprot.org/core/oldMnemonic	old_mnemonic	skos:closeMatch	intermine:Synonym.value	Synonym.value	semapv:UnspecifiedMatching	0.5		UniProt	core:oldMnemonic	main_old_mnemonic	guess	knowledge				no	Protein.synonyms	literal	yes	CQ066_HUMAN
http://purl.uniprot.org/core/replaces	second_id	skos:closeMatch	intermine:Synonym.value	Synonym.value	semapv:UnspecifiedMatching	0.5	secondary accessions	UniProt	core:replaces	main_second_id	guess	knowledge	iri_localname			no	Protein.synonyms	iri	yes	up:Q9UFZ6
http://www.w3.org/2000/01/rdf-schema#label	label	sssom:NoMapping			semapv:UnspecifiedMatching		the rdfs:label -> Protein trap named in the spec; the label is uniprot:ACC, not a name	UniProt	rdfs:label	main	drop	spec-section-9				no		iri	no	uniprot:Q9BYF1
http://purl.uniprot.org/core/reviewed	reviewed	sssom:NoMapping			semapv:UnspecifiedMatching		Do NOT turn this into a reviewed=1 filter - the previous note suggested it, and its premise was false.  UniprotConverter defaults `loadtrembl = true` and HumanMine's project.xml does not override it, so stock loads TrEMBL as well as Swiss-Prot.  Checked 2026-09-16: RDF Portal has 20,431 reviewed and 190,278 unreviewed human entries, and live HumanMine holds 117,219 human proteins - far more than Swiss-Prot alone.  A reviewed filter would drop ~83% of them.  There is no Protein field for the flag, so it is not loaded as data either.	UniProt	core:reviewed	main	drop	java:UniprotConverter				no		literal	no	1
http://purl.uniprot.org/core/created	created_date	sssom:NoMapping			semapv:UnspecifiedMatching			UniProt	core:created	main	drop	knowledge				no		literal	no	2005-08-02
http://purl.uniprot.org/core/modified	modified_date	sssom:NoMapping			semapv:UnspecifiedMatching			UniProt	core:modified	main	drop	knowledge				no		literal	no	2022-12-14
http://purl.uniprot.org/core/version	version	sssom:NoMapping			semapv:UnspecifiedMatching			UniProt	core:version	main	drop	knowledge				no		literal	no	192
http://purl.uniprot.org/core/encodedBy	gene	sssom:NoMapping			semapv:UnspecifiedMatching			UniProt	core:encodedBy	main	link	structure				no		link	no	Gene
http://purl.uniprot.org/core/organism	taxonomy	skos:exactMatch	intermine:Organism.taxonId	Organism.taxonId	semapv:UnspecifiedMatching	1.0		UniProt	core:organism	main	sure	java:UniProtConverter	iri_localname		taxonomy:9606	yes	Protein.organism	iri	no	taxonomy:9606
http://purl.uniprot.org/core/proteome	proteome	sssom:NoMapping			semapv:UnspecifiedMatching			UniProt	core:proteome	main	drop	knowledge				no		iri	no	<http://purl.uniprot.org/proteomes/UP000005640#Chromosome%20
http://purl.uniprot.org/core/existence	existence	sssom:NoMapping			semapv:UnspecifiedMatching			UniProt	core:existence	main	drop	knowledge				no		iri	no	core:Evidence_at_Protein_Level_Existence
http://purl.uniprot.org/core/enzyme	ec	skos:closeMatch	intermine:ECNumber.identifier	ECNumber.identifier	semapv:UnspecifiedMatching	0.5		UniProt	core:enzyme	main_ec	guess	knowledge	iri_localname			no	Protein.ecNumbers	iri	yes	enzyme:3.4.17.23
http://purl.uniprot.org/core/component	component	sssom:NoMapping			semapv:UnspecifiedMatching			UniProt	core:component	main_component	drop	knowledge				no		link	yes	Component
