subject	im_class	role	status	basis	rdf_types	path	example	note
UniProt	Protein	root	sure	term	core:Protein	(root)	up:Q9BYF1	type http://purl.uniprot.org/core/Protein = term of Protein
RecommendedNameNode	Protein	node	sure	java:UniProtConverter	core:Structured_Name	core:recommendedName*	up:Q9BYF1#SIPDBB502D4006F752D	flattened - core:fullName -> Protein.name
SubmittedNameNode	Protein	node	guess	knowledge	core:Structured_Name	core:submittedName*	up:A0A2R3N0P2#SIPE4C7423F69FEF7A2	unreviewed entries have a submitted name instead of a recommended name
AlternativeNameNode	Synonym	node	guess	knowledge	core:Structured_Name	core:alternativeName*	up:A6NJT0#SIPA55C636CCF9151AA	alternative full names -> Synonym.value on the Protein
Gene	Gene	node	sure	knowledge+java:UniProtConverter	core:Gene	core:encodedBy?	up:Q9BYF1#gene-MD59FDF2659357792822CB85F383B26B8FE	UniProt gene node; skos:prefLabel is the gene symbol used to link Protein->Gene
Component	Component	node	sure	name	core:Part	core:component*	up:Q9BYF1#SIPDFC0265AEF6A17B9	subject name is the model class Component
SimpleSequence	Sequence	node	guess	knowledge	core:Simple_Sequence	core:sequence	isoforms:Q9NYF8-1	rdf:value -> Sequence.residues; core:mass -> Protein.molecularWeight (term)
ModifiedSequence		node	todo		core:Modificated_Sequence	core:sequence*	isoforms:Q9NYF8-2	no term/knowledge/name match - bind by hand or set role=skip
ExternalSequence		node	todo		core:External_Sequence	core:sequence*	isoforms:L0R6Q1-1	no term/knowledge/name match - bind by hand or set role=skip
UnknownSequence		node	todo		core:Unknown_Sequence	core:sequence*	isoforms:52757-2	no term/knowledge/name match - bind by hand or set role=skip
DbResource	CrossReference	node	guess	knowledge	core:Resource core:Nucleotide_Resource core:Transcript_Resource core:Structure_Resource	rdfs:seeAlso*	<http://purl.uniprot.org/embl-cds/AAF78220.1>	rdfs:seeAlso IRIs -> CrossReference.identifier; DataSource from core:database
Citation	Publication	node	sure	java:UniProtConverter	core:Journal_Citation core:Submission_Citation core:Thesis_Citation core:Observation_Citation core:Patent_Citation core:Book_Citation core:Electronic_Citation	core:citation*	citations:14504186	foaf:primaryTopicOf pubmed:NNN gives Publication.pubMedId
GO	GOTerm	node	sure	knowledge+java:UniProtConverter	owl:Class	core:classifiedWith*	obo:GO_0001618	"object IRI obo:GO_nnnnnnn -> GOTerm.identifier ""GO:nnnnnnn"""
Keyword	OntologyTerm	node	guess	knowledge	core:Concept	core:classifiedWith*	keywords:25	UniProt keyword IRI keywords:NNN; Protein.keywords is an OntologyTerm collection (uniprot-keywords source loads names)
Intact		node	todo		core:Interaction core:Self_Interaction core:Non_Self_Interaction	core:interaction*	<http://purl.uniprot.org/intact/1391211-7730807>	no term/knowledge/name match - bind by hand or set role=skip
AbsorptionAnnotation		node	todo		core:Absorption_Annotation	core:annotation*	<http://purl.uniprot.org/uniprot/P04000#SIPD7876B25E46F0DAD>	no term/knowledge/name match - bind by hand or set role=skip
ActiveSiteAnnotation		node	todo		core:Active_Site_Annotation	core:annotation*	<http://purl.uniprot.org/uniprot/Q9BYF1#SIP3AC5B779F687F241>	no term/knowledge/name match - bind by hand or set role=skip
ActivityRegulationAnnotation		node	todo		core:Activity_Regulation_Annotation	core:annotation*	<http://purl.uniprot.org/uniprot/Q9BYF1#SIP24113BC5E56AA353>	no term/knowledge/name match - bind by hand or set role=skip
AllergenAnnotation		node	todo		core:Allergen_Annotation	core:annotation*	<http://purl.uniprot.org/uniprot/Q9BQE9#SIP21C424C523E246F6>	no term/knowledge/name match - bind by hand or set role=skip
AlternativeInitiationAnnotation		node	todo		core:Alternative_Initiation_Annotation	core:annotation*	<http://purl.uniprot.org/uniprot/Q68CP4#SIP253410AED6FBB7FC>	no term/knowledge/name match - bind by hand or set role=skip
AlternativePromoterUsageAnnotation		node	todo		core:Alternative_Promoter_Usage_Annotation	core:annotation*	<http://purl.uniprot.org/uniprot/P36402#SIP95AEAE561FE57BBA>	no term/knowledge/name match - bind by hand or set role=skip
AlternativeSequenceAnnotation		node	todo		core:Alternative_Sequence_Annotation	core:annotation*	<http://purl.uniprot.org/annotation/VSP_060903>	no term/knowledge/name match - bind by hand or set role=skip
AlternativeSplicingAnnotation		node	todo		core:Alternative_Splicing_Annotation	core:annotation*	<http://purl.uniprot.org/uniprot/Q9BYF1#SIP3EC7FC68B97F7D30>	no term/knowledge/name match - bind by hand or set role=skip
Annotation		node	todo		core:Annotation	core:annotation*	<http://purl.uniprot.org/uniprot/O14994#SIP7D3E6C3AD70A5B22>	no term/knowledge/name match - bind by hand or set role=skip
BetaStrandAnnotation		node	todo		core:Beta_Strand_Annotation	core:annotation*	<http://purl.uniprot.org/uniprot/Q9BYF1#SIP07DCC01247230EE4>	no term/knowledge/name match - bind by hand or set role=skip
